section,case,entity,entity_id,sub_id,period,parameter,value,unit,source,notes
Generator,Common,Generator,G1,10,,ramp_up,12,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G1,10,,ramp_down,12,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G1,10,,cost_alpha,8.8,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G1,10,,cost_beta,2.3,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G1,10,,cost_gamma,0,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G2,30,,bus,30,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G2,30,,P_min,0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G2,30,,P_max,250,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G2,30,,Q_min,-150,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G2,30,,Q_max,150,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G2,30,,ramp_up,12,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G2,30,,ramp_down,12,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G2,30,,cost_alpha,9.0,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G2,30,,cost_beta,2.3,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G2,30,,cost_gamma,0,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G3,34,,bus,34,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G3,34,,P_min,0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G3,34,,P_max,220,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G3,34,,Q_min,-120,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G3,34,,Q_max,120,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G3,34,,ramp_up,9,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G3,34,,ramp_down,9,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G3,34,,cost_alpha,2.5,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G3,34,,cost_beta,2.5,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G3,34,,cost_gamma,0,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G4,35,,bus,35,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G4,35,,P_min,0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G4,35,,P_max,220,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G4,35,,Q_min,-120,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G4,35,,Q_max,120,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G4,35,,ramp_up,9,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G4,35,,ramp_down,9,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G4,35,,cost_alpha,2.5,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G4,35,,cost_beta,2.5,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G4,35,,cost_gamma,0,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G5,36,,bus,36,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G5,36,,P_min,0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G5,36,,P_max,200,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G5,36,,Q_min,-100,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G5,36,,Q_max,100,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G5,36,,ramp_up,8,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G5,36,,ramp_down,8,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G5,36,,cost_alpha,2.0,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G5,36,,cost_beta,2.7,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G5,36,,cost_gamma,0,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G6,57,,bus,57,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G6,57,,P_min,0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G6,57,,P_max,260,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G6,57,,Q_min,-150,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G6,57,,Q_max,150,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G6,57,,ramp_up,12,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G6,57,,ramp_down,12,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G6,57,,cost_alpha,8.8,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G6,57,,cost_beta,2.3,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G6,57,,cost_gamma,0,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G7,78,,bus,78,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G7,78,,P_min,0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G7,78,,P_max,250,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G7,78,,Q_min,-150,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G7,78,,Q_max,150,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G7,78,,ramp_up,12,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G7,78,,ramp_down,12,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G7,78,,cost_alpha,9.0,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G7,78,,cost_beta,2.3,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G7,78,,cost_gamma,0,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G8,83,,bus,83,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G8,83,,P_min,0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G8,83,,P_max,230,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G8,83,,Q_min,-120,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G8,83,,Q_max,120,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G8,83,,ramp_up,9,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G8,83,,ramp_down,9,MW/period,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G8,83,,cost_alpha,9.4,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G8,83,,cost_beta,2.5,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G8,83,,cost_gamma,0,normalized,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,System,Load,,1,load_multiplier,0.38,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Wind,,1,availability_multiplier,0.45,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Solar,,1,availability_multiplier,0.35,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,1,fixed_workload_multiplier,0.55,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,1,shiftable_workload_multiplier,0.55,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,System,Load,,2,load_multiplier,0.3,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Wind,,2,availability_multiplier,0.52,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Solar,,2,availability_multiplier,0.44,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,2,fixed_workload_multiplier,0.5,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,2,shiftable_workload_multiplier,0.5,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,System,Load,,3,load_multiplier,0.25,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Wind,,3,availability_multiplier,0.62,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Solar,,3,availability_multiplier,0.58,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,3,fixed_workload_multiplier,0.5,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,3,shiftable_workload_multiplier,0.5,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,System,Load,,4,load_multiplier,0.2,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Wind,,4,availability_multiplier,0.78,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Solar,,4,availability_multiplier,0.76,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,4,fixed_workload_multiplier,0.5,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,4,shiftable_workload_multiplier,0.5,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,System,Load,,5,load_multiplier,0.25,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Wind,,5,availability_multiplier,0.92,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Solar,,5,availability_multiplier,0.9,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,5,fixed_workload_multiplier,0.48,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,5,shiftable_workload_multiplier,0.48,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,System,Load,,6,load_multiplier,0.2,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Wind,,6,availability_multiplier,0.98,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,Renewable,Solar,,6,availability_multiplier,0.96,p.u. multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,6,fixed_workload_multiplier,0.46,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Profile,Common,DataCenter,All,,6,shiftable_workload_multiplier,0.46,multiplier,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W1,3,,bus,3,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W1,3,,capacity,170,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W1,3,1,available_power,76.5,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W1,3,2,available_power,88.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W1,3,3,available_power,105.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W1,3,4,available_power,132.6,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W1,3,5,available_power,156.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W1,3,6,available_power,166.6,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W2,4,,bus,4,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W2,4,,capacity,170,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W2,4,1,available_power,76.5,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W2,4,2,available_power,88.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W2,4,3,available_power,105.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W2,4,4,available_power,132.6,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W2,4,5,available_power,156.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W2,4,6,available_power,166.6,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W3,16,,bus,16,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W3,16,,capacity,150,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W3,16,1,available_power,67.5,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W3,16,2,available_power,78.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W3,16,3,available_power,93.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W3,16,4,available_power,117.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W3,16,5,available_power,138.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W3,16,6,available_power,147.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W4,32,,bus,32,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W4,32,,capacity,150,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W4,32,1,available_power,67.5,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W4,32,2,available_power,78.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W4,32,3,available_power,93.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W4,32,4,available_power,117.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W4,32,5,available_power,138.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W4,32,6,available_power,147.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W5,39,,bus,39,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W5,39,,capacity,135,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W5,39,1,available_power,60.75,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W5,39,2,available_power,70.2,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W5,39,3,available_power,83.7,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W5,39,4,available_power,105.3,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W5,39,5,available_power,124.2,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W5,39,6,available_power,132.3,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W6,100,,bus,100,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W6,100,,capacity,145,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W6,100,1,available_power,65.25,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W6,100,2,available_power,75.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W6,100,3,available_power,89.9,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W6,100,4,available_power,113.1,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W6,100,5,available_power,133.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W6,100,6,available_power,142.1,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W7,37,,bus,37,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Wind,W7,37,,capacity,220,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W7,37,1,available_power,99.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W7,37,2,available_power,114.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W7,37,3,available_power,136.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W7,37,4,available_power,171.6,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W7,37,5,available_power,202.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Wind,W7,37,6,available_power,215.6,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Solar,PV1,2,,bus,2,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Solar,PV1,2,,capacity,115,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV1,2,1,available_power,40.25,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV1,2,2,available_power,50.6,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV1,2,3,available_power,66.7,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV1,2,4,available_power,87.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV1,2,5,available_power,103.5,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV1,2,6,available_power,110.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Solar,PV2,24,,bus,24,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Solar,PV2,24,,capacity,210,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV2,24,1,available_power,73.5,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV2,24,2,available_power,92.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV2,24,3,available_power,121.8,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV2,24,4,available_power,159.6,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV2,24,5,available_power,189.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV2,24,6,available_power,201.6,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Solar,PV3,27,,bus,27,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Solar,PV3,27,,capacity,100,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV3,27,1,available_power,35.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV3,27,2,available_power,44.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV3,27,3,available_power,58.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV3,27,4,available_power,76.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV3,27,5,available_power,90.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV3,27,6,available_power,96.0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Solar,PV4,63,,bus,63,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Renewable,Common,Solar,PV4,63,,capacity,110,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV4,63,1,available_power,38.5,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV4,63,2,available_power,48.4,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV4,63,3,available_power,63.8,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
RenewableAvailability,Common,Solar,PV4,63,4,available_power,83.6,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
